Element,Configuration,2p,3p,3d
Zn,2p63p54s03d10,15.238252396416236,1.9562281177124137,0.136601267922052
Zn,2p63p54s23d9,15.233354342984766,1.997997628919655,0.14544497550664698
Zn,2p63p54s13d9,15.235123084501689,2.000718769714915,0.14653343182475098
Zn,2p63p54s03d9,15.23757211121742,2.0049365379475677,0.148030059262144
Zn,2p63p54s03d8,15.23879662457529,2.063305008005895,0.16027519284081398
Zn,2p63p54s03d7,15.242198050569362,2.130381128609054,0.173200611618299
Zn,2p63p54s03d6,15.248592731438222,2.2050764434389407,0.18680631559459898
Zn,2p63p54s03d5,15.258116724221635,2.2867106672967408,0.20136441884924
Zn,2p63p54s03d4,15.271314257078645,2.374739572023402,0.21673886434245898
Zn,2p63p54s03d3,15.288593501128547,2.468482872420109,0.23306570911401897
Zn,2p63p54s03d2,15.310226570450864,2.567668454407336,0.250208896124157
Zn,2p63p54s03d1,15.336621636164887,2.672024203905557,0.26680785497524295
Zn,2p63p54s03d0,15.3681868693899,2.7803256075569047,
Cu,2p63p64s23d9,12.375612279802716,1.9597656007462518,0.154288683091242
Cu,2p63p64s13d9,13.03834612048829,1.6129562063903649,0.100954323504146
Cu,2p63p64s03d9,13.03929851976663,1.612548035271076,0.101906722782487
Cu,2p63p64s23d8,13.034944694494214,1.645473838893722,0.109934088128504
Cu,2p63p64s13d8,13.035897093772554,1.646426238172063,0.11075043036708199
Cu,2p63p64s03d8,13.037529778249711,1.648467093768508,0.11197494372494898
Cu,2p63p64s03d7,13.03698555009066,1.6949986013674538,0.122587392826463
Cu,2p63p64s03d6,13.03834612048829,1.7507819876702837,0.133744070087029
Cu,2p63p64s03d5,13.041883603522127,1.814320625239605,0.145717089586173
Cu,2p63p64s03d4,13.048414341430751,1.884662114797076,0.158370394284132
Cu,2p63p64s03d3,13.058074391253925,1.9611261711438817,0.171703984180906
Cu,2p63p64s03d2,13.071407981150697,2.0430325090812076,0.185853916316258
Cu,2p63p64s03d1,13.088823282240362,2.130109014529528,0.199731734372084
Cu,2p63p64s03d0,13.110456351562679,2.221947516369553,
Cu,2p53p64s23d9,13.493592975535288,1.759761752294642,0.13333589896773998
Cu,2p53p64s13d9,13.494545374813628,1.760714151572983,0.134152241206318
Cu,2p53p64s03d9,13.496042002251022,1.762755007169428,0.135376754564185
Cu,2p53p64s23d8,13.491824234018369,1.8041163472573798,0.14449257622830597
Cu,2p53p64s13d8,13.493456918495525,1.807245659171929,0.14558103254640997
Cu,2p53p64s03d8,13.495633831131732,1.8115994844443448,0.14694160294404
Cu,2p53p64s03d7,13.497130458569126,1.8692876693038571,0.159322793562473
Cu,2p53p64s03d6,13.501212169762015,1.9347311054298597,0.172248212339958
Cu,2p53p64s03d5,13.508015021750166,2.007113450583776,0.185989973356021
Cu,2p53p64s03d4,13.51821929973239,2.0854823054872638,0.20054807661066198
Cu,2p53p64s03d3,13.53223317482798,2.1694294990210348,0.21592252210388097
Cu,2p53p64s03d2,13.550192704076695,2.258138688946511,0.23197725279591497
Cu,2p53p64s03d1,13.57264211563759,2.351337761184166,0.24762381236866
Cu,2p53p64s03d0,13.599581409510664,2.448754601654474,
Cu,2p63p54s23d9,13.048006170311462,1.6579910865519178,0.11088648740684498
Cu,2p63p54s13d9,13.049094626629566,1.6586713717507329,0.111702829645423
Cu,2p63p54s03d9,13.05059125406696,1.6604401132676518,0.112791285963527
Cu,2p63p54s23d8,13.046237428794543,1.6981279132820029,0.12068259426978098
Cu,2p63p54s13d8,13.0478701132717,1.7009851111170258,0.12163499354812199
Cu,2p63p54s03d8,13.05018308294767,1.705202879349679,0.12299556394575198
Cu,2p63p54s03d7,13.0515436533453,1.758945410056064,0.13388012712679198
Cu,2p63p54s03d6,13.055081136379139,1.8207153061084658,0.14544497550664698
Cu,2p63p54s03d5,13.061339760208236,1.889151997109255,0.157690109085317
Cu,2p63p54s03d4,13.070863752991647,1.9638473119391417,0.170751584902565
Cu,2p63p54s03d3,13.083789171769132,2.0442570224390746,0.184629402958391
Cu,2p63p54s03d2,13.10052418765998,2.129836900450002,0.199187506213032
Cu,2p63p54s03d1,13.121613028823246,2.220178774852634,0.21347349538814697
Cu,2p63p54s03d0,13.14719175229869,2.315282645646971,
Ni,2p63p64s23d8,10.482242514460808,1.565608356552841,0.113471571162342
Ni,2p63p64s13d8,11.098989075706488,1.355944458278058,0.0816342238578
Ni,2p63p64s03d8,11.09994147498483,1.355672344198532,0.082586623136141
Ni,2p63p64s23d7,11.095995820831702,1.385332778866866,0.089525532164054
Ni,2p63p64s13d7,11.096948220110042,1.38642123518497,0.090341874402632
Ni,2p63p64s03d7,11.098444847547436,1.388598147821178,0.091430330720736
Ni,2p63p64s03d6,11.098036676428146,1.43132005830676,0.100818266464383
Ni,2p63p64s03d5,11.099533303865538,1.482341448217885,0.11088648740684498
Ni,2p63p64s03d4,11.10320684393914,1.540437804196686,0.121498936508359
Ni,2p63p64s03d3,11.109601524808001,1.6049288410443479,0.13265561376892498
Ni,2p63p64s03d2,11.11912551759141,1.67486215948253,0.144628633268069
Ni,2p63p64s03d1,11.132050936368897,1.750101702471469,0.15646559572744997
Ni,2p63p64s03d0,11.148922009299508,1.8294229566532978,
Ni,2p53p64s23d8,11.503350597882124,1.4880558438879308,0.11007014516826699
Ni,2p53p64s13d8,11.504166940120701,1.489280357245798,0.11088648740684498
Ni,2p53p64s03d8,11.505663567558095,1.4913212128422428,0.11197494372494898
Ni,2p53p64s23d7,11.50185397044473,1.528736898777068,0.12000230907096598
Ni,2p53p64s13d7,11.503350597882124,1.5318662106916168,0.12109076538906999
Ni,2p53p64s03d7,11.505391453478568,1.53608397892427,0.12231527874693698
Ni,2p53p64s03d6,11.507160194995487,1.589010167392077,0.13333589896773998
Ni,2p53p64s03d5,11.511241906188378,1.648875264887797,0.14490074734759498
Ni,2p53p64s03d4,11.518044758176528,1.714862929172852,0.157281937966028
Ni,2p53p64s03d3,11.52811297911899,1.7862928750484268,0.170207356743513
Ni,2p53p64s03d2,11.54171868309529,1.8626208743554697,0.184085174799339
Ni,2p53p64s03d1,11.559133984184953,1.943574813014455,0.197418764696113
Ni,2p53p64s03d0,11.58076705350727,2.028882576945856,
Ni,2p63p54s23d8,11.10769672625132,1.396625513167195,0.090477931442395
Ni,2p63p54s13d8,11.108649125529661,1.3974418554057728,0.09115821664121
Ni,2p63p54s03d8,11.110145752967053,1.3993466539624548,0.09224667295931399
Ni,2p63p54s23d7,11.106200098813925,1.4333609139032049,0.099049524947464
Ni,2p63p54s13d7,11.10769672625132,1.436218111738228,0.10000192422580499
Ni,2p63p54s03d7,11.109873638887526,1.440299822931118,0.101362494623435
Ni,2p63p54s03d6,11.11137026632492,1.4895524713253239,0.11088648740684498
Ni,2p63p54s03d5,11.114907749358759,1.545880085787206,0.12122682242883298
Ni,2p63p54s03d4,11.121166373187856,1.6086023811179488,0.13211138560987298
Ni,2p63p54s03d3,11.130282194851977,1.6770390721187378,0.14381229102949097
Ni,2p63p54s03d2,11.142935499549937,1.7506459306305209,0.156193481647924
Ni,2p63p54s03d1,11.159262344321496,1.8286066144147197,0.168302558186831
Ni,2p63p54s03d0,11.17980695732571,1.910649009391809,
Co,2p63p64s23d7,8.80112173114918,1.129953715231715,0.05483098702448899
