#Spectra: 1
Emin______Emax      -5.000000000000000E+01  5.000000000000000E+01
EminPole__EmaxPole   1.668794192520102E+01  3.928252005643986E+01
dE________Gamma      2.500000000000000E-02  1.000000000000000E-01
Energy               Re[0]                  Im[0]                
-5.000000000000E+01 -1.602712808581507E-03 -1.201036174816705E-05
-4.997500000000E+01 -1.699813563705591E-03 -1.208739788359559E-05
-4.995000000000E+01 -1.794175018332926E-03 -1.216252554119433E-05
-4.992500000000E+01 -1.884284089411275E-03 -1.223467128207239E-05
-4.990000000000E+01 -1.969042123570635E-03 -1.230305511106397E-05
-4.987500000000E+01 -2.047790868594349E-03 -1.236720899609228E-05
-4.985000000000E+01 -2.120267331272343E-03 -1.242694497461775E-05
-4.982500000000E+01 -2.186519288506451E-03 -1.248229535175817E-05
-4.980000000000E+01 -2.246811158290515E-03 -1.253344604204955E-05
-4.977500000000E+01 -2.301539619176029E-03 -1.258067679891669E-05
-4.975000000000E+01 -2.351167549456586E-03 -1.262431441133792E-05
-4.972500000000E+01 -2.396177322319189E-03 -1.266469960706668E-05
-4.970000000000E+01 -2.437040656550647E-03 -1.270216568184479E-05
-4.967500000000E+01 -2.474201016372266E-03 -1.273702601826405E-05
-4.965000000000E+01 -2.508064757191601E-03 -1.276956780099455E-05
-4.962500000000E+01 -2.538997963760713E-03 -1.280004976566618E-05
-4.960000000000E+01 -2.567326754278650E-03 -1.282870240429201E-05
-4.957500000000E+01 -2.593339530295865E-03 -1.285572955033498E-05
-4.955000000000E+01 -2.617290186807937E-03 -1.288131064511475E-05
-4.952500000000E+01 -2.639401673215081E-03 -1.290560325378943E-05
-4.950000000000E+01 -2.659869547844017E-03 -1.292874557767411E-05
-4.947500000000E+01 -2.678865331086673E-03 -1.295085882467887E-05
-4.945000000000E+01 -2.696539563212383E-03 -1.297204937120940E-05
-4.942500000000E+01 -2.713024533462041E-03 -1.299241069178197E-05
-4.940000000000E+01 -2.728436681679937E-03 -1.301202505715834E-05
-4.937500000000E+01 -2.742878692224520E-03 -1.303096501491551E-05
-4.935000000000E+01 -2.756441308568205E-03 -1.304929467251461E-05
-4.932500000000E+01 -2.769204899891974E-03 -1.306707080499382E-05
-4.930000000000E+01 -2.781240810630482E-03 -1.308434380917005E-05
-4.927500000000E+01 -2.792612521877277E-03 -1.310115852479168E-05
-4.925000000000E+01 -2.803376650743484E-03 -1.311755494109415E-05
-4.922500000000E+01 -2.813583810713884E-03 -1.313356880505627E-05
-4.920000000000E+01 -2.823279353062840E-03 -1.314923214554542E-05
-4.917500000000E+01 -2.832504006626617E-03 -1.316457372558585E-05
-4.915000000000E+01 -2.841294430750298E-03 -1.317961943322900E-05
-4.912500000000E+01 -2.849683694047815E-03 -1.319439261996597E-05
-4.910000000000E+01 -2.857701689728410E-03 -1.320891439428642E-05
-4.907500000000E+01 -2.865375496622911E-03 -1.322320387684407E-05
-4.905000000000E+01 -2.872729693664687E-03 -1.323727842271246E-05
-4.902500000000E+01 -2.879786634407890E-03 -1.325115381538730E-05
-4.900000000000E+01 -2.886566687174968E-03 -1.326484443648913E-05
-4.897500000000E+01 -2.893088445588060E-03 -1.327836341452864E-05
-4.895000000000E+01 -2.899368913530710E-03 -1.329172275559704E-05
-4.892500000000E+01 -2.905423667990065E-03 -1.330493345841975E-05
-4.890000000000E+01 -2.911267002724907E-03 -1.331800561585734E-05
-4.887500000000E+01 -2.916912055278646E-03 -1.333094850463366E-05
-4.885000000000E+01 -2.922370919495779E-03 -1.334377066481911E-05
-4.882500000000E+01 -2.927654745394776E-03 -1.335647997037694E-05
-4.880000000000E+01 -2.932773827990879E-03 -1.336908369190089E-05
-4.877500000000E+01 -2.937737686442351E-03 -1.338158855251462E-05
-4.875000000000E+01 -2.942555134705805E-03 -1.339400077777073E-05
-4.872500000000E+01 -2.947234344726369E-03 -1.340632614027494E-05
-4.870000000000E+01 -2.951782903052555E-03 -1.341856999966482E-05
-4.867500000000E+01 -2.956207861647444E-03 -1.343073733848708E-05
-4.865000000000E+01 -2.960515783568931E-03 -1.344283279445053E-05
-4.862500000000E+01 -2.964712784104749E-03 -1.345486068946821E-05
-4.860000000000E+01 -2.968804567874427E-03 -1.346682505584930E-05
-4.857500000000E+01 -2.972796462345815E-03 -1.347872965996000E-05
-4.855000000000E+01 -2.976693448159568E-03 -1.349057802362795E-05
-4.852500000000E+01 -2.980500186605956E-03 -1.350237344353677E-05
-4.850000000000E+01 -2.984221044558079E-03 -1.351411900882326E-05
-4.847500000000E+01 -2.987860117128933E-03 -1.352581761706743E-05
-4.845000000000E+01 -2.991421248288320E-03 -1.353747198884134E-05
-4.842500000000E+01 -2.994908049649023E-03 -1.354908468096595E-05
-4.840000000000E+01 -2.998323917606897E-03 -1.356065809860487E-05
-4.837500000000E+01 -3.001672048999547E-03 -1.357219450631254E-05
-4.835000000000E+01 -3.004955455429016E-03 -1.358369603813872E-05
-4.832500000000E+01 -3.008176976378954E-03 -1.359516470688258E-05
-4.830000000000E+01 -3.011339291241651E-03 -1.360660241257642E-05
-4.827500000000E+01 -3.014444930358351E-03 -1.361801095027305E-05
-4.825000000000E+01 -3.017496285165562E-03 -1.362939201720280E-05
-4.822500000000E+01 -3.020495617529625E-03 -1.364074721935622E-05
-4.820000000000E+01 -3.023445068344110E-03 -1.365207807754793E-05
-4.817500000000E+01 -3.026346665456421E-03 -1.366338603300562E-05
-4.815000000000E+01 -3.029202330983283E-03 -1.367467245252917E-05
-4.812500000000E+01 -3.032013888069568E-03 -1.368593863325576E-05
-4.810000000000E+01 -3.034783067138150E-03 -1.369718580706655E-05
-4.807500000000E+01 -3.037511511675444E-03 -1.370841514466532E-05
-4.805000000000E+01 -3.040200783591430E-03 -1.371962775935721E-05
-4.802500000000E+01 -3.042852368190660E-03 -1.373082471055260E-05
-4.800000000000E+01 -3.045467678786017E-03 -1.374200700701951E-05
-4.797500000000E+01 -3.048048060984982E-03 -1.375317560990422E-05
-4.795000000000E+01 -3.050594796675237E-03 -1.376433143554041E-05
-4.792500000000E+01 -3.053109107733072E-03 -1.377547535806269E-05
-4.790000000000E+01 -3.055592159477587E-03 -1.378660821184044E-05
-4.787500000000E+01 -3.058045063890150E-03 -1.379773079374645E-05
-4.785000000000E+01 -3.060468882617447E-03 -1.380884386527294E-05
-4.782500000000E+01 -3.062864629775066E-03 -1.381994815450666E-05
-4.780000000000E+01 -3.065233274566619E-03 -1.383104435797407E-05
-4.777500000000E+01 -3.067575743732368E-03 -1.384213314236631E-05
-4.775000000000E+01 -3.069892923840239E-03 -1.385321514615297E-05
-4.772500000000E+01 -3.072185663430660E-03 -1.386429098109297E-05
-4.770000000000E+01 -3.074454775026160E-03 -1.387536123364960E-05
-4.767500000000E+01 -3.076701037015436E-03 -1.388642646631793E-05
-4.765000000000E+01 -3.078925195420780E-03 -1.389748721886900E-05
-4.762500000000E+01 -3.081127965557452E-03 -1.390854400951851E-05
-4.760000000000E+01 -3.083310033592320E-03 -1.391959733602445E-05
-4.757500000000E+01 -3.085472058008968E-03 -1.393064767671843E-05
-4.755000000000E+01 -3.087614670985612E-03 -1.394169549147589E-05
-4.752500000000E+01 -3.089738479692036E-03 -1.395274122262929E-05
-4.750000000000E+01 -3.091844067510543E-03 -1.396378529582740E-05
-4.747500000000E+01 -3.093931995186654E-03 -1.397482812084549E-05
-4.745000000000E+01 -3.096002801913844E-03 -1.398587009234848E-05
-4.742500000000E+01 -3.098057006356418E-03 -1.399691159061156E-05
-4.740000000000E+01 -3.100095107615464E-03 -1.400795298219921E-05
-4.737500000000E+01 -3.102117586140474E-03 -1.401899462060734E-05
-4.735000000000E+01 -3.104124904590833E-03 -1.403003684686932E-05
-4.732500000000E+01 -3.106117508650272E-03 -1.404107999012896E-05
-4.730000000000E+01 -3.108095827796939E-03 -1.405212436818260E-05
-4.727500000000E+01 -3.110060276032263E-03 -1.406317028799173E-05
-4.725000000000E+01 -3.112011252570802E-03 -1.407421804616840E-05
-4.722500000000E+01 -3.113949142493809E-03 -1.408526792943491E-05
-4.720000000000E+01 -3.115874317368354E-03 -1.409632021505951E-05
-4.717500000000E+01 -3.117787135834522E-03 -1.410737517126929E-05
